TRADEDATE,CLOSE
02.12.2019,2921.18
03.12.2019,2883.48
04.12.2019,2900.66
05.12.2019,2899.29
06.12.2019,2928.76
09.12.2019,2945.03
10.12.2019,2932.04
11.12.2019,2954.04
12.12.2019,2982.86
13.12.2019,2996.63
16.12.2019,3006.16
17.12.2019,3013.29
18.12.2019,3023.92
19.12.2019,3008.39
20.12.2019,3015.93
23.12.2019,3033.81
24.12.2019,3030.59
25.12.2019,3030.84
26.12.2019,3031.67
27.12.2019,3050.47
30.12.2019,3045.87
03.01.2020,3076.37
06.01.2020,3078.87
08.01.2020,3110.06
09.01.2020,3118.08
10.01.2020,3123.66
13.01.2020,3151.69
14.01.2020,3129.77
15.01.2020,3132.63
16.01.2020,3157.23
17.01.2020,3196.88
20.01.2020,3219.92
21.01.2020,3209.22
22.01.2020,3174.62
23.01.2020,3141.02
24.01.2020,3146.02
27.01.2020,3085.16
28.01.2020,3113.01
29.01.2020,3128.08
30.01.2020,3108.58
31.01.2020,3076.65
03.02.2020,3070.84
04.02.2020,3097.06
05.02.2020,3114.25
06.02.2020,3096.68
07.02.2020,3087.63
10.02.2020,3062.41
11.02.2020,3097.58
12.02.2020,3122.27
13.02.2020,3110.05
14.02.2020,3096.88
17.02.2020,3110.06
18.02.2020,3074.05
19.02.2020,3114.57
20.02.2020,3125.01
21.02.2020,3106.03
25.02.2020,3002.68
26.02.2020,3017.42
27.02.2020,2915.84
28.02.2020,2785.08
02.03.2020,2765.77
03.03.2020,2821.37
04.03.2020,2828.01
05.03.2020,2816.07
06.03.2020,2719.51
10.03.2020,2498.94
11.03.2020,2492.88
12.03.2020,2286.04
13.03.2020,2316.38
16.03.2020,2266.09
17.03.2020,2224.74
18.03.2020,2112.64
19.03.2020,2275.07
20.03.2020,2331.61
23.03.2020,2253.35
24.03.2020,2415.97
25.03.2020,2452.69
26.03.2020,2489.97
27.03.2020,2401.11
30.03.2020,2433.35
31.03.2020,2508.81
01.04.2020,2473.61
02.04.2020,2545.95
03.04.2020,2572.23
06.04.2020,2622.59
07.04.2020,2634.74
08.04.2020,2670.12
09.04.2020,2701.77
10.04.2020,2677.86
13.04.2020,2628.85
14.04.2020,2631.83
15.04.2020,2498.94
16.04.2020,2515.05
17.04.2020,2534.97
20.04.2020,2525.97
21.04.2020,2488.02
22.04.2020,2573.41
23.04.2020,2599.41
24.04.2020,2562.03
27.04.2020,2570.91
28.04.2020,2612.24
29.04.2020,2663.14
30.04.2020,2650.56
04.05.2020,2624.64
05.05.2020,2653.51
06.05.2020,2632.01
07.05.2020,2634.87
08.05.2020,2641.55
12.05.2020,2642.04
13.05.2020,2604.98
14.05.2020,2590.31
15.05.2020,2593.91
18.05.2020,2694.25
19.05.2020,2711.72
20.05.2020,2770.79
21.05.2020,2718.67
22.05.2020,2709.38
25.05.2020,2757.93
26.05.2020,2754.04
27.05.2020,2741.02
28.05.2020,2779.98
29.05.2020,2734.83
01.06.2020,2750.24
02.06.2020,2796.51
03.06.2020,2831.08
04.06.2020,2766.26
05.06.2020,2792.74
08.06.2020,2796.03
09.06.2020,2795.09
10.06.2020,2785.18
11.06.2020,2743.08
15.06.2020,2719.06
16.06.2020,2748.03
17.06.2020,2740.01
18.06.2020,2724.33
19.06.2020,2758.67
22.06.2020,2763.29
23.06.2020,2791.97
25.06.2020,2760.75
26.06.2020,2761.74
29.06.2020,2767.95
30.06.2020,2743.02
02.07.2020,2788.79
03.07.2020,2801.66
06.07.2020,2835.18
07.07.2020,2825.21
08.07.2020,2815.83
09.07.2020,2782.43
10.07.2020,2800.94
13.07.2020,2766.79
14.07.2020,2744.54
15.07.2020,2747.91
16.07.2020,2760.01
17.07.2020,2774.79
20.07.2020,2802.24
21.07.2020,2825.71
22.07.2020,2834.65
23.07.2020,2851.79
24.07.2020,2863.12
27.07.2020,2884.88
28.07.2020,2895.45
29.07.2020,2918.42
30.07.2020,2882.63
31.07.2020,2911.57
03.08.2020,2929.97
04.08.2020,2940.46
05.08.2020,2992.78
06.08.2020,2988.05
07.08.2020,2972.35
10.08.2020,2960.78
11.08.2020,3005.63
12.08.2020,3053.99
13.08.2020,3080.44
14.08.2020,3061.99
17.08.2020,3052.46
18.08.2020,3050.07
19.08.2020,3056.54
20.08.2020,2993.69
21.08.2020,2995.61
24.08.2020,3029.42
25.08.2020,3029.05
26.08.2020,3051.97
27.08.2020,3012.01
28.08.2020,2980.17
31.08.2020,2966.02
01.09.2020,2975.07
02.09.2020,2956.05
03.09.2020,2931.92
04.09.2020,2921.55
07.09.2020,2932.29
08.09.2020,2888.79
09.09.2020,2876.07
10.09.2020,2897.55
11.09.2020,2910.51
14.09.2020,2928.38
15.09.2020,2980.58
16.09.2020,2975.01
17.09.2020,2971.74
18.09.2020,2951.79
21.09.2020,2863.67
22.09.2020,2884.66
23.09.2020,2916.39
24.09.2020,2912.76
25.09.2020,2896.83
28.09.2020,2927.17
29.09.2020,2910.12
30.09.2020,2905.81
01.10.2020,2889.08
02.10.2020,2852.42
05.10.2020,2881.98
06.10.2020,2892.99
07.10.2020,2842.58
08.10.2020,2846.39
09.10.2020,2834.09
12.10.2020,2846.14
13.10.2020,2829.23
14.10.2020,2856.08
15.10.2020,2817.29
16.10.2020,2799.54
19.10.2020,2794.27
20.10.2020,2803.06
21.10.2020,2786.23
22.10.2020,2803.17
23.10.2020,2816.07
26.10.2020,2785.59
27.10.2020,2763.03
28.10.2020,2693.46
29.10.2020,2709.04
30.10.2020,2690.59
02.11.2020,2737.54
03.11.2020,2786.42
05.11.2020,2861.39
06.11.2020,2895.62
09.11.2020,2987.75
10.11.2020,2998.61
11.11.2020,3015.03
12.11.2020,3025.83
